datetime,code_site,nom_site,latitude_pollution,longitude_pollution,station_meteo,distance_km,temperature,humidity,wind_speed,pressure,impact_index
2026-03-26 00:00:00,FR01011,Metz-Centre,49.12,6.18,AEROPORT METZ-NANCY-LORRAINE,16.23,1.8,90.0,6.0,98150.0,14.4
2026-03-26 00:00:00,FR01012,Metz-Borny,49.11,6.22,AEROPORT METZ-NANCY-LORRAINE,14.63,1.8,90.0,6.0,98150.0,15.43
2026-03-26 00:00:00,FR01018,Scy-Chazelles,49.11,6.12,AEROPORT METZ-NANCY-LORRAINE,16.74,1.8,90.0,6.0,98150.0,15.22
2026-03-26 00:00:00,FR01020,Thionville-Centre,49.36,6.16,AEROPORT METZ-NANCY-LORRAINE,42.61,1.8,90.0,6.0,98150.0,15.56
2026-03-26 00:00:00,FR01064,Metz- Pont Grilles,49.13,6.18,AEROPORT METZ-NANCY-LORRAINE,16.82,1.8,90.0,6.0,98150.0,15.74
2026-03-26 00:00:00,FR01065,Belleville sur Meuse,49.17,5.39,AEROPORT METZ-NANCY-LORRAINE,65.76,1.8,90.0,6.0,98150.0,15.59
2026-03-26 00:00:00,FR02008,Port de Bouc Leque,43.4,4.98,ISTRES,14.12,7.8,53.0,9.1,101070.0,16.26
2026-03-26 00:00:00,FR02022,Arles,43.68,4.63,NIMES-GARONS,20.5,7.2,54.0,7.8,100190.0,17.85
2026-03-26 00:00:00,FR02043,Marignane,43.42,5.22,MARIGNANE,2.4,8.2,53.0,8.6,100880.0,14.3
2026-03-26 00:00:00,FR03006,MARSEILLE RABATAU,43.28,5.4,MARIGNANE,23.16,8.2,53.0,8.6,100880.0,16.3
2026-03-26 00:00:00,FR03014,MARSEILLE ST LOUIS,43.35,5.36,MARIGNANE,15.33,8.2,53.0,8.6,100880.0,14.91
2026-03-26 00:00:00,FR03021,AIX ROY RENE,43.52,5.45,MARIGNANE,21.05,8.2,53.0,8.6,100880.0,15.45
2026-03-26 00:00:00,FR03027,PLAN AUPS/STE  BAUME,43.34,5.73,HYERES,42.86,9.7,35.0,9.9,100810.0,17.93
2026-03-26 00:00:00,FR03029,AIX CENTRE ECOLE ART,43.53,5.44,MARIGNANE,20.86,8.2,53.0,8.6,100880.0,14.23
2026-03-26 00:00:00,FR03030,GARDANNE,43.45,5.47,MARIGNANE,20.31,8.2,53.0,8.6,100880.0,17.26
2026-03-26 00:00:00,FR03043,MARSEILLE 5 AVENUES,43.31,5.39,MARIGNANE,20.62,8.2,53.0,8.6,100880.0,15.82
2026-03-26 00:00:00,FR03064,LA VALETTE/LA GARDE,43.14,6.01,HYERES,11.68,9.7,35.0,9.9,100810.0,18.78
2026-03-26 00:00:00,FR03068,TOULON FOCH,43.13,5.92,HYERES,18.53,9.7,35.0,9.9,100810.0,15.17
2026-03-26 00:00:00,FR03070,ESTEREL,43.44,6.77,CANNES,19.74,10.5,32.0,8.8,100060.0,17.63
2026-03-26 00:00:00,FR03071,TOULON CLARET,43.13,5.92,HYERES,18.4,9.7,35.0,9.9,100810.0,17.35
2026-03-26 00:00:00,FR04002,GENNEVILLIERS,48.93,2.29,LE BOURGET,10.57,4.0,80.0,3.1,101110.0,21.01
2026-03-26 00:00:00,FR04004,PARIS 18eme,48.89,2.35,PARIS-MONTSOURIS,7.81,5.2,70.0,3.3,100770.0,18.8
2026-03-26 00:00:00,FR04012,Place Victor Basch,48.83,2.33,PARIS-MONTSOURIS,1.02,5.2,70.0,3.3,100770.0,19.16
2026-03-26 00:00:00,FR04017,NEUILLY-SUR-SEINE,48.88,2.28,PARIS-MONTSOURIS,7.95,5.2,70.0,3.3,100770.0,17.26
2026-03-26 00:00:00,FR04023,CERGY-PONTOISE,49.05,2.04,PONTOISE - AERO,5.0,2.5,89.0,3.6,100620.0,18.03
2026-03-26 00:00:00,FR04024,GONESSE,48.99,2.44,LE BOURGET,2.89,4.0,80.0,3.1,101110.0,17.51
2026-03-26 00:00:00,FR04029,VERSAILLES,48.8,2.13,TOUSSUS LE NOBLE,5.54,2.5,88.0,5.0,99780.0,16.11
2026-03-26 00:00:00,FR04031,Av Champs Elysees,48.87,2.31,PARIS-MONTSOURIS,5.59,5.2,70.0,3.3,100770.0,19.78
2026-03-26 00:00:00,FR04034,VITRY-SUR-SEINE,48.78,2.38,PARIS-MONTSOURIS,5.8,5.2,70.0,3.3,100770.0,17.54
2026-03-26 00:00:00,FR04037,PARIS 13eme,48.83,2.36,PARIS-MONTSOURIS,1.82,5.2,70.0,3.3,100770.0,17.02
2026-03-26 00:00:00,FR04038,Zone Rurale SO,48.58,1.88,TRAPPES,23.32,2.5,86.0,1.9,99650.0,16.4
2026-03-26 00:00:00,FR04048,Zone Rurale Nord,49.1,2.34,LE BOURGET,15.99,4.0,80.0,3.1,101110.0,16.13
2026-03-26 00:00:00,FR04055,PARIS 1er Les Halles,48.86,2.34,PARIS-MONTSOURIS,4.53,5.2,70.0,3.3,100770.0,17.77
2026-03-26 00:00:00,FR04058,Auto A1 -Saint-Denis,48.93,2.36,LE BOURGET,6.98,4.0,80.0,3.1,101110.0,32.51
2026-03-26 00:00:00,FR04063,MANTES-LA-JOLIE,49.0,1.7,PONTOISE - AERO,25.85,2.5,89.0,3.6,100620.0,16.13
2026-03-26 00:00:00,FR04066,Zone rurale Sud,48.36,2.24,ORLY,41.07,3.0,83.0,2.7,100640.0,15.18
2026-03-26 00:00:00,FR04069,MELUN,48.54,2.66,MELUN,7.78,3.2,85.0,4.3,100590.0,16.78
2026-03-26 00:00:00,FR04098,LOGNES,48.84,2.64,LE BOURGET,20.73,4.0,80.0,3.1,101110.0,17.31
2026-03-26 00:00:00,FR04100,VILLEMOMBLE,48.88,2.51,LE BOURGET,11.13,4.0,80.0,3.1,101110.0,18.92
2026-03-26 00:00:00,FR04101,CHAMPIGNY-SUR-MARNE,48.82,2.52,PARIS-MONTSOURIS,13.17,5.2,70.0,3.3,100770.0,18.24
2026-03-26 00:00:00,FR04118,Place de l'Opéra,48.87,2.33,PARIS-MONTSOURIS,5.42,5.2,70.0,3.3,100770.0,21.24
2026-03-26 00:00:00,FR04122,RN6-MELUN,48.53,2.65,MELUN,9.34,3.2,85.0,4.3,100590.0,19.84
2026-03-26 00:00:00,FR04131,Boulevard Haussmann,48.87,2.33,PARIS-MONTSOURIS,5.77,5.2,70.0,3.3,100770.0,20.03
2026-03-26 00:00:00,FR04149,MONTGERON,48.71,2.46,ORLY,4.59,3.0,83.0,2.7,100640.0,17.36
2026-03-26 00:00:00,FR04150,LA DEFENSE,48.89,2.24,PARIS-MONTSOURIS,10.52,5.2,70.0,3.3,100770.0,17.94
2026-03-26 00:00:00,FR04156,BOBIGNY,48.9,2.45,LE BOURGET,7.43,4.0,80.0,3.1,101110.0,19.14
2026-03-26 00:00:00,FR04158,Zone Rurale NO,49.06,1.87,PONTOISE - AERO,12.14,2.5,89.0,3.6,100620.0,18.14
2026-03-26 00:00:00,FR04173,RD934 Coulommiers,48.81,3.08,MELUN,36.8,3.2,85.0,4.3,100590.0,17.35
2026-03-26 00:00:00,FR04179,PARIS Stade Lenglen,48.83,2.27,PARIS-MONTSOURIS,5.07,5.2,70.0,3.3,100770.0,18.71
2026-03-26 00:00:00,FR04180,RN20 - MONTLHERY,48.64,2.27,ORLY,12.73,3.0,83.0,2.7,100640.0,21.52
2026-03-26 00:00:00,FR04181,RAMBOUILLET,48.63,1.83,TRAPPES,20.43,2.5,86.0,1.9,99650.0,16.65
2026-03-26 00:00:00,FR04319,TREMBLAY-EN-FRANCE,48.96,2.58,ROISSY,7.27,3.4,82.0,4.3,100310.0,16.42
2026-03-26 00:00:00,FR04328,Zone Rurale SE,48.35,2.65,MELUN,28.54,3.2,85.0,4.3,100590.0,15.5
2026-03-26 00:00:00,FR04329,Bld peripherique Est,48.84,2.41,PARIS-MONTSOURIS,5.8,5.2,70.0,3.3,100770.0,19.19
2026-03-26 00:00:00,FR05040,Honfleur Sce Tech.,49.42,0.24,ST GATIEN DES B,7.9,6.2,55.0,6.8,100210.0,20.16
2026-03-26 00:00:00,FR05074,Le Havre Ec. Herriot,49.49,0.1,OCTEVILLE,4.87,6.7,60.0,11.6,100820.0,16.42
2026-03-26 00:00:00,FR05083,Gonfreville l Orcher,49.5,0.23,OCTEVILLE,10.71,6.7,60.0,11.6,100820.0,14.46
2026-03-26 00:00:00,FR05087,Maison Parc Brotonne,49.5,0.76,ROUEN-BOOS,32.67,4.6,68.0,6.1,99860.0,16.68
2026-03-26 00:00:00,FR05089,Le Havre Lafaurie-montant,49.5,0.11,OCTEVILLE,3.9,6.7,60.0,11.6,100820.0,15.38
2026-03-26 00:00:00,FR05090,Le Havre ville-haute,49.51,0.1,OCTEVILLE,2.14,6.7,60.0,11.6,100820.0,16.76
2026-03-26 00:00:00,FR06003,Douai Theuriet,50.38,3.07,LILLE-LESQUIN,21.44,3.9,89.0,3.9,100900.0,16.74
2026-03-26 00:00:00,FR06006,Valenciennes Wallon,50.36,3.52,LILLE-LESQUIN,37.81,3.9,89.0,3.9,100900.0,16.73
2026-03-26 00:00:00,FR06011,Denain Villars,50.32,3.4,LILLE-LESQUIN,34.67,3.9,89.0,3.9,100900.0,16.27
2026-03-26 00:00:00,FR06133,Cartignies,50.09,3.85,ST QUENTIN,55.23,2.6,87.0,4.2,100330.0,16.01
2026-03-26 00:00:00,FR07004,Montferrand,45.8,3.11,CLERMONT-FD,2.99,3.8,70.0,6.4,97870.0,17.11
2026-03-26 00:00:00,FR07022,Paray le Fresil,46.65,3.6,ST YAN,41.83,3.3,77.0,5.6,98810.0,15.91
2026-03-26 00:00:00,FR07031,Rageade,45.1,3.28,LE PUY-LOUDES,38.35,-0.9,86.0,9.2,91860.0,18.55
2026-03-26 00:00:00,FR07051,Beaulieu,45.77,3.16,CLERMONT-FD,2.03,3.8,70.0,6.4,97870.0,15.18
2026-03-26 00:00:00,FR07052,Aurillac-Lagarde,44.92,2.44,AURILLAC,3.62,1.9,77.0,5.2,94450.0,18.09
2026-03-26 00:00:00,FR07054,Le Puy-Causans,45.04,3.89,LE PUY-LOUDES,10.44,-0.9,86.0,9.2,91860.0,15.23
2026-03-26 00:00:00,FR07057,Moulins Centre,46.56,3.34,VICHY-CHARMEIL,44.18,2.5,87.0,4.0,98830.0,15.85
2026-03-26 00:00:00,FR07058,Montluçon,46.34,2.59,GUERET-ST LAURENT,52.78,2.5,72.0,2.3,97630.0,17.22
2026-03-26 00:00:00,FR07059,Vichy,46.13,3.43,VICHY-CHARMEIL,4.54,2.5,87.0,4.0,98830.0,16.08
2026-03-26 00:00:00,FR07060,Royat Périurbaine,45.76,3.05,CLERMONT-FD,8.39,3.8,70.0,6.4,97870.0,18.2
2026-03-26 00:00:00,FR07061,Riom Périurbaine,45.9,3.12,CLERMONT-FD,12.4,3.8,70.0,6.4,97870.0,16.82
2026-03-26 00:00:00,FR08022,Agathois-piscénois,43.29,3.5,BEZIERS-VIAS,12.9,9.4,59.0,9.8,101550.0,16.65
2026-03-26 00:00:00,FR08714,Perpignan Les Carmes,42.7,2.9,PERPIGNAN,5.16,9.7,50.0,13.5,101250.0,16.18
2026-03-26 00:00:00,FR09003,place de VERDUN,46.16,-1.15,LA ROCHELLE-ILE DE RE,3.49,7.8,63.0,8.0,102200.0,19.37
2026-03-26 00:00:00,FR09008,Aytré,46.14,-1.12,LA ROCHELLE-ILE DE RE,7.55,7.8,63.0,8.0,102200.0,18.04
2026-03-26 00:00:00,FR09015,Les Couronneries,46.59,0.36,POITIERS-BIARD,3.46,4.0,73.0,4.1,100750.0,17.3
2026-03-26 00:00:00,FR09103,Square Pablo Casals,45.65,0.17,COGNAC,37.59,6.5,61.0,4.7,102010.0,16.16
2026-03-26 00:00:00,FR09106,ANGOULEME-GAMBETTA,45.65,0.16,COGNAC,37.2,6.5,61.0,4.7,102010.0,16.03
2026-03-26 00:00:00,FR09203,La Pallice3 LR,46.16,-1.21,LA ROCHELLE-ILE DE RE,2.29,7.8,63.0,8.0,102200.0,17.4
2026-03-26 00:00:00,FR09302,Zoodyssée Chizé,46.14,-0.4,NIORT,19.19,3.9,74.0,3.0,101590.0,13.8
2026-03-26 00:00:00,FR09303,Niort Venise,46.32,-0.48,NIORT,6.37,3.9,74.0,3.0,101590.0,14.66
2026-03-26 00:00:00,FR09304,AIRVAULT - Stade Laillé,46.82,-0.14,POITIERS-BIARD,42.79,4.0,73.0,4.1,100750.0,16.28
2026-03-26 00:00:00,FR09305,Niort - Tassigny,46.33,-0.47,NIORT,5.86,3.9,74.0,3.0,101590.0,17.71
2026-03-26 00:00:00,FR09403,Poitiers-Le Nain,46.59,0.34,POITIERS-BIARD,2.01,4.0,73.0,4.1,100750.0,17.9
2026-03-26 00:00:00,FR09404,Poitiers Centre  Augouard,46.58,0.35,POITIERS-BIARD,2.63,4.0,73.0,4.1,100750.0,17.0
2026-03-26 00:00:00,FR10004,Malo-les-Bains,51.05,2.42,DUNKERQUE,5.69,6.9,71.0,9.8,101290.0,16.55
2026-03-26 00:00:00,FR10017,St Pol mer - cheminots,51.03,2.33,DUNKERQUE,2.61,6.9,71.0,9.8,101290.0,19.36
2026-03-26 00:00:00,FR10025,Sangatte,50.95,1.77,BOULOGNE-SEM,26.94,5.5,73.0,9.2,100770.0,19.13
2026-03-26 00:00:00,FR10030,Boulogne Diderot,50.72,1.61,BOULOGNE-SEM,1.78,5.5,73.0,9.2,100770.0,16.36
2026-03-26 00:00:00,FR10032,Outreau,50.69,1.58,BOULOGNE-SEM,4.54,5.5,73.0,9.2,100770.0,17.68
2026-03-26 00:00:00,FR10132,Campagne les B.,50.61,1.99,LE-TOUQUET,28.14,5.7,73.0,10.4,101380.0,16.09
2026-03-26 00:00:00,FR11026,Halluin stade,50.78,3.13,LILLE-LESQUIN,22.93,3.9,89.0,3.9,100900.0,15.14
2026-03-26 00:00:00,FR11034,Roubaix Serres,50.71,3.18,LILLE-LESQUIN,16.28,3.9,89.0,3.9,100900.0,28.59
2026-03-26 00:00:00,FR11038,Tourcoing Houpline,50.73,3.17,LILLE-LESQUIN,18.94,3.9,89.0,3.9,100900.0,17.68
2026-03-26 00:00:00,FR11114,Wattignies,50.6,3.05,LILLE-LESQUIN,4.58,3.9,89.0,3.9,100900.0,14.67
2026-03-26 00:00:00,FR12004,Toulouse école m. Jacquier,43.58,1.42,TOULOUSE-BLAGNAC,5.95,6.2,80.0,7.9,100490.0,16.28
2026-03-26 00:00:00,FR12020,Peyrusse Vieille,43.63,0.18,AUCH,34.61,6.7,72.0,3.2,100860.0,17.06
2026-03-26 00:00:00,FR12021,Toulouse Mazades,43.62,1.44,TOULOUSE-BLAGNAC,4.81,6.2,80.0,7.9,100490.0,16.96
2026-03-26 00:00:00,FR12026,Albi Delmas,43.93,2.15,ALBI,2.78,6.5,74.0,6.2,100040.0,15.73
2026-03-26 00:00:00,FR12030,Toulouse Berthelot,43.59,1.44,TOULOUSE-BLAGNAC,6.45,6.2,80.0,7.9,100490.0,16.25
2026-03-26 00:00:00,FR12042,Lourdes Lapaca,43.1,-0.04,TARBES-LOURDES-PYRENEES,10.72,5.5,87.0,4.6,98150.0,17.39
2026-03-26 00:00:00,FR12044,Toulouse - Aéroport Blagnac côté trafic,43.63,1.38,TOULOUSE-BLAGNAC,1.41,6.2,80.0,7.9,100490.0,14.49
2026-03-26 00:00:00,FR12052,Tarbes lycée Dupuy,43.23,0.06,TARBES-LOURDES-PYRENEES,6.9,5.5,87.0,4.6,98150.0,17.25
2026-03-26 00:00:00,FR12053,Castres stadeTravet,43.61,2.23,ALBI,35.04,6.5,74.0,6.2,100040.0,16.61
2026-03-26 00:00:00,FR12054,Toulouse Rte Albi,43.64,1.47,TOULOUSE-BLAGNAC,7.63,6.2,80.0,7.9,100490.0,15.21
2026-03-26 00:00:00,FR12085,Toulouse Port de l'Embouchure,43.61,1.42,TOULOUSE-BLAGNAC,3.16,6.2,80.0,7.9,100490.0,16.69
2026-03-26 00:00:00,FR12095,Rodez Camonil,44.36,2.57,RODEZ-AVEYRON,9.18,0.6,92.0,7.5,95060.0,16.16
2026-03-26 00:00:00,FR14010,BETHENY,49.28,4.05,REIMS-PRUNAY,11.05,2.6,87.0,3.3,100310.0,16.98
2026-03-26 00:00:00,FR14011,DOUMER,49.25,4.02,REIMS-PRUNAY,10.63,2.6,87.0,3.3,100310.0,17.85
2026-03-26 00:00:00,FR14012,Jean d Aulan,49.22,4.02,REIMS-PRUNAY,9.92,2.6,87.0,3.3,100310.0,15.08
2026-03-26 00:00:00,FR14022,CHALONS,48.96,4.36,VATRY-AERO,25.05,0.7,96.0,5.2,99510.0,13.82
2026-03-26 00:00:00,FR14028,Rempart Perrier,49.05,3.96,REIMS-PRUNAY,23.28,2.6,87.0,3.3,100310.0,16.58
2026-03-26 00:00:00,FR14033,STE SAVINE,48.3,4.05,TROYES-BARBEREY,3.99,2.5,90.0,7.6,100150.0,15.35
2026-03-26 00:00:00,FR14042,St DIZIER L. Michel,48.65,4.97,ST-DIZIER,4.86,1.6,94.0,2.3,99720.0,16.09
2026-03-26 00:00:00,FR15018,Voiron Urbain,45.36,5.59,GRENOBLE-ST GEOIRS,21.57,2.8,83.0,4.6,96920.0,16.84
2026-03-26 00:00:00,FR15038,St Martin d'Heres,45.18,5.75,GRENOBLE-ST GEOIRS,39.88,2.8,83.0,4.6,96920.0,14.97
2026-03-26 00:00:00,FR15043,Grenoble Les Frenes,45.16,5.74,GRENOBLE-ST GEOIRS,39.97,2.8,83.0,4.6,96920.0,13.81
2026-03-26 00:00:00,FR15045,Grenoble PeriurbSud,45.06,5.68,GRENOBLE-ST GEOIRS,44.38,2.8,83.0,4.6,96920.0,11.72
2026-03-26 00:00:00,FR15046,Grenoble Boulevards,45.18,5.72,GRENOBLE-ST GEOIRS,37.83,2.8,83.0,4.6,96920.0,15.98
2026-03-26 00:00:00,FR15048,Gresivaudan Periurb,45.28,5.88,CHAMBERY-AIX,40.21,4.3,81.0,5.9,98620.0,13.47
2026-03-26 00:00:00,FR15053,Rocade Sud Eybens,45.15,5.75,GRENOBLE-ST GEOIRS,41.04,2.8,83.0,4.6,96920.0,15.87
2026-03-26 00:00:00,FR16017,Nord-Est Alsace,48.92,8.16,STRASBOURG-ENTZHEIM,55.99,3.1,88.0,8.4,99300.0,15.64
2026-03-26 00:00:00,FR16029,Strasbourg Nord,48.61,7.78,STRASBOURG-ENTZHEIM,12.4,3.1,88.0,8.4,99300.0,13.4
2026-03-26 00:00:00,FR16034,Strasbourg Clemenceau,48.59,7.74,STRASBOURG-ENTZHEIM,8.94,3.1,88.0,8.4,99300.0,14.74
2026-03-26 00:00:00,FR16054,Colmar Centre,48.07,7.35,COLMAR-MEYENHEIM,16.76,4.0,86.0,1.6,98630.0,14.7
2026-03-26 00:00:00,FR16066,Mulhouse Sud 2,47.74,7.31,BALE-MULHOUSE,20.34,3.0,87.0,6.7,97850.0,14.31
2026-03-26 00:00:00,FR16069,Mulhouse-Briand,47.75,7.32,BALE-MULHOUSE,20.48,3.0,87.0,6.7,97850.0,13.89
2026-03-26 00:00:00,FR16215,Strasbourg A35 Remparts,48.59,7.73,STRASBOURG-ENTZHEIM,7.85,3.1,88.0,8.4,99300.0,15.76
2026-03-26 00:00:00,FR16302,Donon Vosges Moyennes 2,48.49,7.13,STRASBOURG-ENTZHEIM,38.12,3.1,88.0,8.4,99300.0,13.79
2026-03-26 00:00:00,FR18035,Salouel,49.87,2.24,MEAULTE,35.14,3.2,82.0,4.5,100190.0,16.18
2026-03-26 00:00:00,FR18039,Arrest,50.13,1.61,ABBEVILLE,15.92,5.4,71.0,5.8,100790.0,18.88
2026-03-26 00:00:00,FR18042,P. Roth St Quentin,49.85,3.28,ST QUENTIN,6.69,2.6,87.0,4.2,100330.0,16.46
2026-03-26 00:00:00,FR18043,Faiencerie Creil,49.26,2.47,ROISSY,27.52,3.4,82.0,4.3,100310.0,15.56
2026-03-26 00:00:00,FR18053,St Pierre Amiens,49.9,2.3,MEAULTE,29.62,3.2,82.0,4.5,100190.0,16.8
2026-03-26 00:00:00,FR18057,Neuilly-Saint-Front,49.17,3.26,ROISSY,55.8,3.4,82.0,4.3,100310.0,14.88
2026-03-26 00:00:00,FR18058,Gaudechart,49.62,1.96,BEAUVAIS-TILLE,22.22,2.6,86.0,4.3,100450.0,14.3
2026-03-26 00:00:00,FR18080,TRAF Saint Quent 14,49.84,3.28,ST QUENTIN,6.06,2.6,87.0,4.2,100330.0,17.31
2026-03-26 00:00:00,FR18089,Trafic Beauvais 1,49.44,2.08,BEAUVAIS-TILLE,3.32,2.6,86.0,4.3,100450.0,17.19
2026-03-26 00:00:00,FR19002,Rennes Laennec,48.11,-1.67,RENNES-ST JACQUES,6.72,4.1,88.0,3.0,101830.0,19.07
2026-03-26 00:00:00,FR19012,Brest Mace,48.39,-4.49,BREST-GUIPAVAS,10.3,5.1,77.0,3.1,101350.0,20.31
2026-03-26 00:00:00,FR19014,Brest Desmoulins,48.4,-4.49,BREST-GUIPAVAS,9.54,5.1,77.0,3.1,101350.0,19.05
2026-03-26 00:00:00,FR19020,Kergoff,48.26,-2.94,ST BRIEUC,31.25,5.0,79.0,4.1,100710.0,15.67
2026-03-26 00:00:00,FR19032,Lorient B. Bissonnet,47.74,-3.4,LORIENT-LANN BIHOUE,3.79,4.8,80.0,3.7,101980.0,15.29
2026-03-26 00:00:00,FR19033,Vannes UTA,47.65,-2.76,LORIENT-LANN BIHOUE,51.83,4.8,80.0,3.7,101980.0,16.04
2026-03-26 00:00:00,FR19037,Lorient Normandie,47.76,-3.37,LORIENT-LANN BIHOUE,4.97,4.8,80.0,3.7,101980.0,16.16
2026-03-26 00:00:00,FR19039,Rennes Thabor,48.12,-1.67,RENNES-ST JACQUES,6.86,4.1,88.0,3.0,101830.0,16.61
2026-03-26 00:00:00,FR19053,Quimper Zola,47.99,-4.1,QUIMPER,4.93,4.8,89.0,3.2,101530.0,17.42
2026-03-26 00:00:00,FR19082,StMalo Rocabey,48.65,-2.0,DINARD,9.32,7.5,63.0,8.7,101490.0,18.54
2026-03-26 00:00:00,FR20013,A7 SUD LYONNAIS,45.72,4.82,LYON-BRON,10.17,4.8,70.0,6.0,99180.0,17.75
2026-03-26 00:00:00,FR20017,GERLAND,45.74,4.83,LYON-BRON,9.39,4.8,70.0,6.0,99180.0,15.69
2026-03-26 00:00:00,FR20037,TERNAY,45.6,4.8,LYON-BRON,17.52,4.8,70.0,6.0,99180.0,16.85
2026-03-26 00:00:00,FR20046,VAULX EN VELIN,45.78,4.92,LYON-BRON,6.68,4.8,70.0,6.0,99180.0,15.85
2026-03-26 00:00:00,FR20047,COTIERE AIN,45.82,4.95,LYON-BRON,11.34,4.8,70.0,6.0,99180.0,14.87
2026-03-26 00:00:00,FR20048,SAINT EXUPERY,45.75,5.07,LYON-ST EXUPERY,3.01,4.3,74.0,5.2,98700.0,14.92
2026-03-26 00:00:00,FR20062,LYON Centre,45.76,4.85,LYON-BRON,8.41,4.8,70.0,6.0,99180.0,14.88
2026-03-26 00:00:00,FR20069,Lyon Périphérique,45.77,4.9,LYON-BRON,7.13,4.8,70.0,6.0,99180.0,19.01
2026-03-26 00:00:00,FR20070,LYON TRAFIC JAURES,45.75,4.84,LYON-BRON,8.72,4.8,70.0,6.0,99180.0,16.16
2026-03-26 00:00:00,FR20077,Villefranche Centre ,45.99,4.72,MACON,34.39,3.9,74.0,3.5,98960.0,15.43
2026-03-26 00:00:00,FR21001,Caen Chemin-Vert,49.19,-0.39,CAEN-CARPIQUET,4.92,6.7,65.0,8.0,101200.0,17.63
2026-03-26 00:00:00,FR21019,IFS Caen sud,49.15,-0.35,CAEN-CARPIQUET,8.15,6.7,65.0,8.0,101200.0,18.02
2026-03-26 00:00:00,FR21031,Alençon Météo-France,48.45,0.11,ALENCON,0.05,4.5,75.0,5.3,100240.0,17.48
2026-03-26 00:00:00,FR21038,Cherbourg Hotel de Ville,49.64,-1.62,GONNEVILLE,11.64,6.8,65.0,7.0,100440.0,17.88
2026-03-26 00:00:00,FR21039,Cherbourg PMF,49.63,-1.62,GONNEVILLE,11.79,6.8,65.0,7.0,100440.0,15.15
2026-03-26 00:00:00,FR21040,Saint-Lô Eglise,49.12,-1.08,CAEN-CARPIQUET,46.26,6.7,65.0,8.0,101200.0,16.25
2026-03-26 00:00:00,FR21050,La Coulonche MERA,48.64,-0.46,ALENCON,47.37,4.5,75.0,5.3,100240.0,18.32
2026-03-26 00:00:00,FR22009,Ecole de Carling(9),49.17,6.72,AEROPORT METZ-NANCY-LORRAINE,40.25,1.8,90.0,6.0,98150.0,16.41
2026-03-26 00:00:00,FR22054,Station de FORBACH,49.19,6.91,AEROPORT METZ-NANCY-LORRAINE,53.85,1.8,90.0,6.0,98150.0,14.23
2026-03-26 00:00:00,FR23003,LA MEGRETAIS,47.32,-2.04,ST NAZAIRE-MONTOIR,8.74,7.1,71.0,4.5,102360.0,15.91
2026-03-26 00:00:00,FR23068,FROSSAY,47.25,-1.94,ST NAZAIRE-MONTOIR,18.03,7.1,71.0,4.5,102360.0,17.1
2026-03-26 00:00:00,FR23070,S ETIENNE DE MONTLUC,47.28,-1.78,NANTES-BOUGUENAIS,19.81,5.2,75.0,3.3,102050.0,16.5
2026-03-26 00:00:00,FR23078,SAINT EXUPERY,47.06,-0.88,BEAUCOUZE,51.25,4.4,79.0,4.8,101620.0,16.64
2026-03-26 00:00:00,FR23110,LEON BLUM,47.26,-2.25,ST NAZAIRE-MONTOIR,9.09,7.1,71.0,4.5,102360.0,17.82
2026-03-26 00:00:00,FR23120,BEAUX ARTS,47.47,-0.56,BEAUCOUZE,4.54,4.4,79.0,4.8,101620.0,16.33
2026-03-26 00:00:00,FR23123,MAZAGRAN,48.07,-0.77,LAVAL-ETRONNIER,4.59,4.9,77.0,6.4,100900.0,15.94
2026-03-26 00:00:00,FR23124,LA TARDIERE,46.66,-0.74,NIORT,46.11,3.9,74.0,3.0,101590.0,14.63
2026-03-26 00:00:00,FR23150,APPENTIS,47.45,-0.55,BEAUCOUZE,5.98,4.4,79.0,4.8,101620.0,16.4
2026-03-26 00:00:00,FR23152,DELACROIX,46.66,-1.44,LA ROCHE SUR YON,6.48,4.4,75.0,4.4,101290.0,16.94
2026-03-26 00:00:00,FR23177,SAINT-DENIS D'ANJOU,47.79,-0.44,MARCE,26.94,4.7,82.0,4.3,101520.0,14.46
2026-03-26 00:00:00,FR23178,PARSCAU DU PLESSIS,47.32,-2.07,ST NAZAIRE-MONTOIR,6.63,7.1,71.0,4.5,102360.0,16.21
2026-03-26 00:00:00,FR23182,SOURCES,47.97,0.22,LE MANS,3.47,4.1,80.0,3.2,101450.0,16.6
2026-03-26 00:00:00,FR23188,CIM BOUTEILLERIE,47.22,-1.54,NANTES-BOUGUENAIS,9.67,5.2,75.0,3.3,102050.0,18.16
2026-03-26 00:00:00,FR23238,LEVOYER,47.19,-1.58,NANTES-BOUGUENAIS,5.32,5.2,75.0,3.3,102050.0,18.14
2026-03-26 00:00:00,FR23239,LA CHABOSSIERE,47.19,-1.59,NANTES-BOUGUENAIS,4.21,5.2,75.0,3.3,102050.0,16.71
2026-03-26 00:00:00,FR23242,BD DU ROI RENE,47.47,-0.55,BEAUCOUZE,4.68,4.4,79.0,4.8,101620.0,17.52
2026-03-26 00:00:00,FR23249,LA CAME,47.32,-2.13,ST NAZAIRE-MONTOIR,2.2,7.1,71.0,4.5,102360.0,15.89
2026-03-26 00:00:00,FR23251,FRERES GONCOURT,47.23,-1.56,NANTES-BOUGUENAIS,9.87,5.2,75.0,3.3,102050.0,18.04
2026-03-26 00:00:00,FR23252,LA PAIX,48.07,-0.77,LAVAL-ETRONNIER,4.74,4.9,77.0,6.4,100900.0,16.16
